angle,charge,time
74.8241130006066,22.7429221288933,17.2707332538
82.1724827806996,27.1257270118008,23.84040134755
76.5824189426672,22.9714997024288,24.828320206925
69.9751172225416,20.3376065988081,25.858040675675
80.5358274119495,41.3335338178555,27.755381331925
78.3017488465611,29.597296835604,30.10574172255
85.5394377366007,24.2440355985307,31.0542017538
67.356568638199,20.1007387817809,31.7125530038
93.3320893592852,34.1335223974504,32.35277491005
77.7264799760619,40.8887333713803,35.705917644425
70.2767176272513,24.5296907785963,36.46663653505
73.5915186105498,25.8939553826609,36.9812873163
67.6042085171784,23.496203246931,37.5367977538
77.6162812328861,25.0738856760746,37.990340550675
107.790466071479,20.2087513390126,38.75397678505
80.0532382376702,23.6439791356791,38.772998488175
77.2056405708856,29.1078064429406,39.82318553505
76.7036844629246,21.9439900278617,42.3980163163
