angle,charge,time
77.8885095684408,40.9890663077839,0.1211275038
83.4542853575257,45.0932000073401,0.5776421288
59.0092081474502,31.3268092022589,0.6556426913
80.8227479186281,28.7456551617549,0.9940402538
75.5837345702713,35.220028282712,2.659945081925
95.396885721958,38.6222824555471,5.83456828505
76.7775345511107,45.6125241743432,6.07154628505
67.8075115203361,23.4009374378008,11.0689265663
66.923962160359,29.0850468709358,11.227532581925
67.8988421942144,25.5462387355188,12.08035634755
71.9548017327419,29.9822285054763,12.1599043788
97.3641759274378,43.543137845381,12.676923050675
66.5549001935078,28.625917608549,13.448610738175
58.9911122229303,20.4585879487462,13.725799050675
89.6624169701115,22.5248257545996,14.36200597255
85.0386582014012,47.3853560556403,20.229267800675
83.8466730207737,43.1810247281117,20.24900722255
61.1995419601704,23.7547290865558,20.90191891005
72.0817246819983,35.8003904299409,24.17391884755
72.8640662402293,38.9260013111681,25.363780769425
72.7165939386748,33.9718982111936,26.672838925675
80.0804000696863,34.8840574482256,26.732751394425
58.2898741582835,21.7490192522263,36.1328025663
100.282069176641,62.4024998341355,40.1808788163
88.7297303927948,44.1696887398813,40.656187644425
78.037278789105,32.4954299579794,43.9869165663
